id,full_name,midterm,assignment_1,assignment_2,assignment_3,final,course
557,Shandy Manneville,37,76,70,49,35,Programming
558,Isac Vardey,72,65,99,97,73,English
559,Ephraim Piatto,55,73,44,89,89,English
560,Paige Tierney,38,71,91,75,50,Programming
561,Amalie Gerssam,87,65,98,92,59,Programming
562,Lindie Popworth,50,49,80,87,65,Algorithms
563,Merrel O'Keefe,61,96,65,78,88,Math
564,Felicia Vampouille,54,51,98,62,95,Math
565,Vally Hanaford,34,45,42,83,81,English
566,Yank Isacke,51,53,83,48,77,Databases
567,Catharina Pfeuffer,96,46,71,94,66,Math
568,Jose Bonallack,89,40,65,84,79,Programming
569,Ford Nuzzti,96,61,47,63,47,Databases
570,Aveline Costar,74,52,74,53,78,Databases
571,Emilio Dedham,88,46,100,79,87,Databases
572,Elora Kennealy,63,94,100,93,65,Algorithms
573,Tobin Gosswell,54,66,73,64,72,Math
574,Caritta Irdale,73,79,74,41,73,English
575,Fran Ferrick,49,63,63,83,54,Math
576,Glennis Kedie,52,89,53,63,51,Databases
577,Blanch Lammerts,63,95,99,80,64,English
578,Johannes Piotrowski,72,52,87,67,90,Algorithms
579,Camey Windham,37,54,69,72,60,Algorithms
580,Estevan Durn,36,51,65,71,47,Programming
581,Towney Leipnik,73,77,55,87,50,Databases
582,Dara Tebb,91,96,52,56,37,English
583,Brett Barbary,40,59,48,44,42,English
584,Amy Cassin,74,100,95,53,54,Databases
585,Banky Casellas,72,100,54,61,96,Algorithms
586,Floris Denington,53,99,81,48,49,Programming
587,Hermia Cavil,79,96,82,80,59,English
588,Lacee Feige,98,41,81,84,49,English
589,Mair Moynham,97,60,99,81,58,Algorithms
590,Mira Jakel,99,42,66,84,48,Databases
591,Ibbie Willmore,55,78,66,78,94,English
592,Flore Foskin,63,44,49,63,51,Algorithms
593,Husein Houten,47,90,81,78,55,Programming
594,Dietrich Bugge,72,67,88,49,32,Databases
595,Elora Kirkbride,54,59,48,89,93,Programming
596,Kippie Gunthorp,51,70,52,99,89,English
597,Brig Zarfat,46,54,75,56,93,English
598,Vickie Lechelle,65,50,73,58,96,Math
599,Kala Polkinghorne,63,48,75,84,44,Algorithms
600,Tarrah Zanicchelli,71,81,40,87,52,Programming
601,Karlan McKleod,86,63,63,55,83,Databases
602,Cordell Cayette,44,99,44,43,53,Math
603,Gene Kayes,94,70,96,50,70,Algorithms
604,Annelise Greswell,40,83,63,45,88,English
605,Mead Belson,33,76,99,58,56,Algorithms
606,Winonah Allright,65,57,55,91,91,Databases
607,Dorian Broughton,98,75,96,43,30,Algorithms
608,Gwenneth Balsdon,67,66,45,58,30,Databases
609,Melonie Lusted,30,74,72,55,31,Databases
610,Vi Valeri,34,90,65,60,43,Programming
611,Mattias Sawford,48,84,73,97,44,Databases
612,Sandi Bearsmore,90,65,96,73,93,Databases
613,Gun Cleynman,94,57,40,69,41,Math
614,Frankie Stedall,89,100,66,90,89,English
615,Brandi Gusticke,74,79,50,82,77,Databases
616,Birgitta Mallall,44,58,43,81,52,Databases
617,Siffre Yakuntsov,87,99,91,40,72,Programming
618,Dal Howells,42,69,93,49,33,Programming
619,Carlie Nelissen,55,59,59,74,63,Databases
620,Lulita Tabour,34,85,77,65,71,Algorithms
621,Raddy Mickleborough,63,82,53,67,97,Databases
622,Gareth Fratczak,57,68,63,74,48,English
623,Stu Mumbeson,43,48,92,94,49,Databases
624,Veda Mille,59,76,67,60,46,Databases
625,Niels Coombs,49,63,89,52,70,Programming
626,Abraham Le Brom,48,59,92,78,60,Algorithms
627,Janos Kitchenman,36,47,59,65,96,Math
628,Tony Hamblen,97,59,80,96,98,English
629,Paola Feld,35,51,92,57,44,English
630,Shayne Durante,90,62,94,42,40,Math
631,Augustin Olufsen,94,69,60,54,61,Programming
632,Johnath Pickless,82,94,74,78,87,Programming
633,Shir Markel,89,45,53,98,66,English
634,Elyssa Silverlock,97,86,58,50,70,Databases
635,Vassili Janus,40,46,72,50,32,English
636,Robbie Wiszniewski,34,62,61,81,95,Databases
637,Ian Sheber,49,51,72,94,52,Programming
638,Petr Mulholland,82,66,96,55,67,Programming
639,Durante Deery,81,89,95,100,67,Databases
640,Josey Beazey,64,83,85,64,48,English
641,Alex Holttom,94,50,42,72,64,Databases
642,Wallie Crees,69,46,53,74,51,English
643,Alden Dawidsohn,39,46,77,42,67,English
644,Bo Henrych,37,41,65,54,97,Programming
645,Rosabella Forryan,72,42,81,48,58,Programming
646,Fitz Clem,39,96,58,47,88,Algorithms
647,Anthea Duker,30,46,51,86,99,Databases
648,Keven Morbey,69,99,83,46,83,Algorithms
649,Rolando Cherry,56,66,42,48,89,Programming
650,Jenelle Crossan,78,58,48,73,96,Databases
651,Georgetta Robey,36,57,75,73,69,English
652,Judith Cronkshaw,97,85,71,91,91,Math
653,Geoffry Blasio,76,72,40,86,79,Algorithms
654,Allin Serrier,57,91,44,72,73,Algorithms
655,Chaunce Hagyard,85,78,67,99,77,English
656,Gearalt Voff,53,96,79,65,31,Databases
657,Britta Cathee,48,72,94,46,84,Programming
658,Lind Tolley,80,56,66,73,33,Databases
659,Clara Darwin,87,70,45,58,80,Algorithms
660,Lucinda Lurner,92,68,72,79,82,Math
661,Andriana Marcoolyn,60,75,99,63,76,Math
662,Myra Klaussen,96,100,80,89,49,Programming
663,Reyna Valerio,61,100,54,90,70,Algorithms
664,Heda Eschalotte,60,60,48,88,91,Math
665,Rozele Mudd,45,50,98,59,97,English
666,Juliana Gandy,91,72,91,52,66,Databases
667,Floyd Zanelli,36,94,81,66,80,Algorithms
668,Rainer Tiltman,48,43,73,98,45,Algorithms
669,Annnora Dunkinson,81,92,72,79,56,Programming
670,Mariska Whoolehan,58,88,96,55,60,Databases
671,Rudolfo Cabbell,74,96,72,99,45,Algorithms
672,Wilhelm Gilbank,80,82,67,55,31,English
673,Cyb Dyott,59,47,82,43,73,Algorithms
674,Duffie Geekin,71,94,80,78,38,English
675,Hermione Connett,51,95,52,76,69,Databases
676,Nicko Copello,82,68,99,64,54,Math
677,Riannon Laverock,54,92,81,87,47,Programming
678,Celestina Baird,37,50,96,46,100,Math
679,Minette Kenn,73,56,56,62,50,Algorithms
680,Ellery Tearney,60,60,95,53,46,Algorithms
681,Dale Moreinis,91,73,61,54,83,English
682,Dev Kingerby,85,47,65,96,32,English
683,Verna Jojic,52,63,44,87,68,Math
684,Keefer Thunnercliff,43,76,100,62,62,Math
685,Quentin Arlt,61,94,98,84,48,Algorithms
686,Dwayne Wickson,36,87,42,64,83,Math
687,Michelle Babar,89,75,100,50,89,English
688,Pearla Capun,89,98,99,45,99,English
689,Romain Elgee,45,60,64,79,85,Algorithms
690,Peta Durnell,41,73,41,66,33,Math
691,Tiphani Mityashev,58,53,94,89,95,Algorithms
692,Valenka Lacer,42,82,86,94,48,Programming
693,Johny Oldcroft,63,88,72,61,76,Programming
694,Frankie Ingrey,69,68,80,98,71,Programming
695,Caddric Petrowsky,48,42,94,72,54,English
696,Ivor Reford,85,46,86,93,52,Databases
697,Myrna Hare,33,56,78,92,94,Math
698,Wade Gilder,65,51,62,43,87,Databases
699,Kasey Bowen,92,41,91,95,97,Math
700,Katharine Handrik,63,67,59,94,95,Math
701,Robinette Hansford,30,43,60,56,85,Math
702,Orsola Garnsworth,57,95,57,56,77,Math
703,Margarette Dunsford,94,47,90,68,63,Math
704,Ahmed Demange,61,57,61,96,38,Programming
705,Berne Gloy,30,65,77,96,77,Math
706,Ferd Mellers,77,82,97,48,92,English
707,Tess Girardeau,51,100,56,83,62,English
708,Judye Logue,92,62,81,90,91,English
709,Humphrey Lambrecht,80,65,73,79,81,Programming
710,Elisabeth Bischof,80,84,99,84,55,English
711,Lek Esseby,75,60,72,62,75,Programming
712,Judas Jacson,80,60,79,99,88,English
713,Emmalee Parffrey,85,87,59,86,61,Math
714,Ludovico Poure,94,63,71,53,85,Programming
715,Betta Dimic,35,57,92,78,56,Math
716,Gusti MattiCCI,97,58,48,64,35,Math
717,Marijn Ramel,96,57,69,62,65,Programming
718,Winnie Rowley,94,66,70,91,88,Programming
719,Zoe Leamy,70,96,70,98,82,Programming
720,Lemmie Flode,73,82,44,56,57,English
721,Salmon Harvatt,60,57,70,99,42,English
722,Pandora Bettleson,76,69,67,52,87,Algorithms
723,Sergio Dring,91,81,60,66,62,Programming
724,Kayla Bastone,40,52,41,60,59,Math
725,Lionello Rozea,30,72,100,56,82,Programming
726,Orren Caplan,33,75,75,95,39,Math
727,Callida Graben,64,61,88,100,95,Programming
728,Verne Ellery,70,63,93,69,40,Math
729,Hunter Lockier,46,75,54,96,42,Databases
730,Kristoffer Pawelek,35,45,52,79,33,English
731,Jethro Postance,46,64,61,46,52,Algorithms
732,Hettie Stovell,97,45,86,83,38,Math
733,Clayborne Liverock,81,98,47,61,60,Programming
734,Seamus Dick,38,80,62,73,38,Programming
735,Ardisj Tamlett,49,65,63,69,61,Algorithms
736,Charmion Tuffs,92,67,72,93,57,Databases
737,Billi Wibrow,92,53,80,94,83,Math
738,Veriee Wieprecht,53,88,49,81,37,Math
739,Bealle Plank,99,44,94,95,50,Algorithms
740,Bastian Western,86,64,98,46,58,Algorithms
741,Ingmar Gomery,51,87,85,55,94,English
742,Tammie Riccioppo,53,77,62,43,78,English
743,Jamesy Lindhe,74,71,74,88,70,Programming
744,Traci Huke,55,44,69,62,35,Databases
745,Ernie Ambrodi,77,44,58,54,31,Math
746,Elisa De Meyer,40,69,88,50,70,Algorithms
747,Carmelina Lamkin,66,55,41,43,79,Databases
748,Gerri Woodman,97,54,53,64,30,Databases
749,Mack Mitford,34,57,99,85,60,Math
750,Fergus Jacquest,80,98,93,59,71,Math
751,Casey Leband,87,97,74,58,64,Math
752,Nap Beddon,44,88,67,59,56,English
753,Clywd Forgan,60,76,73,44,86,English
754,Deeyn Seccombe,96,66,90,79,98,English
755,Brigit Hast,68,94,84,47,42,Algorithms
756,Shel Boog,83,70,93,78,40,English
757,Any Gumm,70,89,90,43,63,Algorithms
758,Alejandrina Beatens,50,45,94,92,47,Databases
759,Randal Fontell,98,84,79,57,80,Programming
760,Stephine Strathearn,79,93,77,43,89,Databases
761,Margit Rolls,83,47,91,69,90,English
762,Margot Huws,32,71,61,75,90,Algorithms
763,Fergus Duker,80,46,86,63,76,Programming
764,Jeramie Jaynes,30,67,60,57,80,Programming
765,Valida Hoyles,52,94,76,58,100,Math
766,Gilbert Viggars,80,67,97,57,60,Algorithms
767,Cary Fishley,81,88,59,84,89,Programming
768,Lauralee Jennings,48,50,42,41,72,Algorithms
769,York Eliesco,39,89,69,90,57,Algorithms
770,Jacquelyn Newlan,100,52,77,70,68,Algorithms
771,Amandie Gatlin,43,75,89,43,50,Programming
772,Sofie Dobbs,53,66,65,82,54,Databases
773,Marius Noorwood,100,87,77,48,99,Databases
774,Lancelot Kears,48,56,45,84,94,Databases
775,Clevie Olander,91,83,99,45,87,English
776,Kathi Bedingfield,89,68,80,54,88,Algorithms
777,Christal Klouz,81,100,60,74,50,English
778,Wittie Brimming,70,45,92,61,58,Math
779,Mayer Tomasoni,69,50,71,75,38,Programming
780,Cthrine Bartalini,96,40,49,98,96,Math
781,Shaylynn Bachura,53,51,95,49,79,Math
782,Alric Lamburne,82,64,93,64,65,Math
783,Friederike Hurrell,100,64,93,55,54,Programming
784,Kahaleel Izchaki,75,55,60,97,33,Algorithms
785,Magdalena Totaro,42,69,42,51,96,Algorithms
786,Elsbeth Gaines,35,97,98,67,90,Programming
787,Josephina Pasek,53,78,73,61,43,Math
788,Kania Drabble,77,56,50,76,85,English
789,Deni Gresly,42,87,52,64,85,English
790,Hy Scade,83,59,94,63,92,Algorithms
791,Elnar Mcwhinney,86,94,61,90,32,Math
792,Valentin Jahner,89,43,63,89,82,Math
793,Elton Kendle,66,43,90,87,45,Algorithms
794,Viviana Fossord,38,53,83,48,40,English
795,Giselle Balloch,60,56,59,81,76,Databases
796,Dory Crimmins,52,89,50,61,64,Math
797,Thaddus Danks,100,87,83,80,76,Programming
798,Emmalynne Glenton,47,73,43,68,82,Programming
799,Zena Fishleigh,87,90,55,92,99,Programming
800,Pansie Robertz,38,69,79,48,35,Databases
801,Loralie Dufoure,45,57,95,72,66,Databases
802,Shelden Chastagnier,91,62,67,42,71,English
803,Dunstan Juster,47,97,91,56,97,English
804,Orson Assard,96,44,95,86,40,Programming
805,Kathryne Critch,41,100,100,49,67,Algorithms
806,Caz Sandels,35,97,99,49,72,Math
807,Reyna Marchiso,69,87,75,44,89,Programming
808,Cecil Mercik,47,78,48,99,39,English
809,Nissy O'Farrell,59,65,59,45,95,Math
810,Thibaut Doddrell,71,49,98,90,92,Algorithms
811,Rosanne Prodrick,100,42,70,62,74,Algorithms
812,Marylynne Cromleholme,37,83,91,50,39,Algorithms
813,Aigneis Shoreson,81,49,76,69,45,Programming
814,Hadleigh O'Neill,91,74,41,73,73,English
815,Aleksandr Grastye,44,47,43,62,80,Databases
816,Sonja Mellody,52,61,47,75,78,Math
817,Ervin Butterly,34,66,56,62,66,Databases
818,Sollie Wilkin,83,91,93,40,81,Databases
819,Esther Daugherty,100,40,88,65,44,Math
820,Shelli Prosch,44,87,92,94,94,Programming
821,Elisa Schwier,62,81,85,50,84,English
822,Gav Carbonell,39,79,93,82,36,Databases
823,Barbi Harring,70,98,76,92,42,Databases
824,Patty Orys,45,74,72,91,97,Databases
825,Florencia Drinkeld,68,66,96,53,90,Databases
826,Celesta Mogra,91,53,63,54,56,Math
827,Micheal Ivanuschka,100,44,100,83,70,Math
828,Louella Leborgne,65,93,78,41,32,English
829,Thedrick Flooks,69,65,84,46,88,English
830,Lalo Radbond,70,48,71,59,71,Programming
831,Alysia Sabate,91,48,40,53,82,Databases
832,Josie Paulus,73,89,53,62,71,English
833,Dominik Edyson,71,67,72,71,87,Programming
834,Lanette Kynaston,42,63,63,51,74,Algorithms
835,Ellsworth Lattimer,77,49,62,50,54,Databases
836,Madelene Luesley,78,88,48,70,47,Algorithms
837,Roley Godlee,75,78,44,82,67,Databases
838,Hebert Toffanelli,46,46,75,65,99,Databases
839,Yulma Gingell,75,51,80,55,90,Math
840,Debbie Holliar,67,42,77,87,52,Databases
841,Amity Kropp,48,57,62,64,61,English
842,Rhonda Blackaller,48,100,87,98,45,English
843,Rochella Cockayne,48,60,43,48,57,Algorithms
844,Terra Thrower,55,92,55,95,47,Databases
845,Teador McRory,41,47,100,81,68,Programming
846,Currey Denzey,35,83,71,53,61,Databases
847,Bonnee Haygreen,37,40,75,91,31,Algorithms
848,Hayes Sims,63,51,63,97,74,English
849,Alene Beecroft,32,58,44,68,53,Programming
850,Gwendolyn Wannop,99,79,51,56,69,Algorithms
851,Berne Jest,77,86,74,57,35,Programming
852,Lara Bezzant,46,96,92,41,88,Databases
853,Garrott Cristofano,59,86,57,91,84,Algorithms
854,Delphinia Jurkiewicz,43,56,67,52,38,Math
855,Lorrin Deveraux,53,95,79,86,58,English
856,Sydney Purkess,86,62,47,59,42,Algorithms
857,Jacklyn Flinn,69,45,51,76,67,Math
858,Mickey Cooksey,97,93,64,82,97,Math
859,Emelyne Bidnall,62,84,86,49,65,Databases
860,Genvieve Salatino,71,90,42,69,69,Databases
861,Henryetta Margery,47,69,67,100,78,English
862,Marcie Quigg,95,44,41,42,65,Databases
863,Maryann Abatelli,75,92,82,78,81,Algorithms
864,Estrellita Stichall,30,79,49,72,57,Algorithms
865,Stavro Repp,89,96,76,65,56,Algorithms
866,Benita Scade,82,56,76,80,98,English
867,Tobe Udale,60,98,49,97,76,Algorithms
868,Jermayne Thurber,88,48,79,71,75,Math
869,Burt Hearns,95,48,56,99,74,Databases
870,Patricio Danev,95,58,71,56,46,Databases
871,Darnell Petras,45,54,91,50,59,Math
872,Gran Souch,64,45,80,57,94,English
873,Pietra Gallelli,42,72,77,59,49,Math
874,Zea Meert,74,100,43,52,55,Programming
875,Kin Vannuccinii,79,68,48,58,97,Math
876,Pepito Deneve,70,56,65,91,45,Programming
877,Cal Battin,88,79,96,44,73,Algorithms
878,Hadleigh Lanigan,31,82,86,66,46,Databases
879,Helli Havoc,30,45,52,92,56,Math
880,Agnesse Hurcombe,49,84,90,59,55,Math
881,Rod Farn,37,50,86,95,83,Algorithms
882,Pace Butner,87,99,70,53,59,English
883,Hyacinthie Mathers,50,81,91,66,33,English
884,Gilda Calliss,50,99,45,90,49,Math
885,Dottie Di Franceschi,43,48,58,62,95,Algorithms
886,Winnifred Yakovl,78,99,82,96,40,Algorithms
887,Brod Pyburn,60,63,89,42,77,Databases
888,Moss Baskeyfied,86,78,71,65,35,English
889,Chrissie Brittin,48,90,40,88,90,English
890,Jean Aspin,96,96,63,69,51,Databases
891,Pen Patel,93,83,61,86,50,English
892,Fulvia Morehall,39,51,67,67,50,Programming
893,Gena Walhedd,30,47,87,100,76,Programming
894,Venita Shermar,42,77,89,50,91,Algorithms
895,Valle Fillis,46,61,72,73,65,Algorithms
896,Taite Baltzar,50,68,70,61,52,Databases
897,Estell Burk,35,97,62,100,31,Databases
898,Marlowe Oakman,94,60,64,99,55,Algorithms
899,Oran Obell,44,66,64,66,99,Databases
900,Natasha O' Hern,49,98,77,48,94,English
901,Keriann Goggen,69,81,81,98,50,Programming
902,Bret Conkling,48,83,87,46,93,Programming
903,Keith Zorzoni,95,77,50,92,39,Databases
904,Kaila McCoish,63,43,82,81,56,English
905,Norbie Lavell,92,67,45,96,41,Math
906,Carmella Urwin,83,100,75,93,32,Programming
907,Verla Razzell,62,60,67,63,91,Databases
908,Brittan Hurd,73,82,70,70,97,Algorithms
909,Pris Gideon,53,73,76,92,72,Databases
910,Fidel Thody,39,45,66,43,92,Databases
911,Kip Netherclift,50,81,98,44,100,Algorithms
912,Joscelin Davidovics,77,61,84,57,66,Math
913,Madeleine Stucke,52,40,94,75,36,Programming
914,Reynold Stittle,60,91,72,97,94,Databases
915,Anna-maria Aveline,54,76,72,47,32,Databases
916,Hersh McLeish,65,71,78,43,50,English
917,Sara-ann Carek,47,99,90,41,65,Algorithms
918,Keith Keeting,53,73,61,98,50,Algorithms
919,Berenice Stoute,86,75,83,45,78,Programming
920,Wynn Nigh,59,94,55,67,74,Algorithms
921,Zabrina Gawkroge,72,53,86,88,100,Databases
922,Cello Dederich,85,81,54,45,42,Programming
923,Shandee Essery,47,97,67,43,33,Algorithms
924,Sully Lubomirski,88,68,62,50,84,Programming
925,Carmon Capponeer,91,63,44,75,81,Databases
926,Gaven Sivewright,70,81,51,54,57,Algorithms
927,Dusty Jeffers,31,95,67,95,67,Algorithms
928,Sherye Chattell,74,57,95,66,84,Databases
929,Ancell Kilian,75,95,99,85,63,Databases
930,Claudianus Spilsted,38,53,48,44,55,Databases
931,Sergeant Saph,80,65,86,72,43,Algorithms
932,Mufinella Hambly,81,95,98,79,78,Math
933,Gretal Burnell,62,51,93,40,78,English
934,Sallee McWhannel,64,86,40,79,76,Programming
935,Avivah Hadgkiss,39,71,59,44,89,Algorithms
936,Calvin Knightly,36,90,74,54,33,English
937,Selie Kinker,99,78,76,55,40,Math
938,Tomi Risson,36,96,53,80,53,Databases
939,Debee Keble,64,66,96,57,77,Math
940,Dylan Cosgriff,98,100,54,45,49,Programming
941,Gert Lyndon,54,89,61,45,65,Databases
942,Norri Hordle,83,45,81,86,71,Math
943,Marven Verissimo,74,50,55,77,60,Programming
944,Cordelia Gartrell,44,52,91,72,76,Algorithms
945,Griffy Meus,84,65,93,51,40,Programming
946,Shem Bartzen,82,85,89,54,60,Algorithms
947,Beitris Francesch,93,90,91,45,67,English
948,Konstantin Olivey,95,74,64,62,93,Programming
949,Isa Ratnage,58,77,54,53,82,English
950,Justus Ivashkin,84,45,50,48,53,Algorithms
951,Erin Goggey,48,99,100,54,66,English
952,Dania Dibb,59,86,40,77,44,Math
953,Sandi Keegan,99,71,62,64,85,Databases
954,Marian Kirwood,99,91,94,93,93,Programming
955,Sven Camois,60,57,65,40,59,English
956,Dominic Royse,67,49,83,74,30,English
957,Ramona Wein,48,65,63,47,95,English
958,Gannon Radbourne,71,43,56,47,57,Databases
959,Gherardo Eagell,98,91,79,86,72,Programming
960,Pansy Reames,96,94,47,94,33,Math
961,Randolf Druhan,37,73,89,51,47,Databases
962,Kerrie Paike,82,80,85,80,63,Programming
963,Livvy Dimitresco,95,78,52,95,65,Databases
964,Marabel Scholer,61,52,47,99,44,Math
965,Evered Curr,54,43,83,50,51,Math
966,De witt Pender,70,66,57,99,78,Databases
967,Eustacia Sinyard,62,76,86,56,81,Math
968,Ave Pryn,76,72,51,52,50,Programming
969,Barty McKendry,88,46,79,87,47,English
970,Aguste McQuin,90,60,90,97,71,Databases
971,Barron Marjanski,53,96,100,99,72,Programming
972,Emlyn Currington,45,65,49,41,67,Math
973,Irma Temblett,61,67,46,50,77,Databases
974,Brook Sunderland,47,100,45,55,92,Programming
975,Sayers Hastings,96,60,86,62,42,English
976,Russell Alderwick,90,45,49,86,37,Programming
977,Corine Saffe,39,68,98,87,43,Databases
978,Margaux Kingsnod,77,42,61,85,100,Databases
979,Kev Greenaway,89,96,71,76,48,Databases
980,Ninnetta Sawden,45,99,63,54,55,Algorithms
981,Bernetta Guttridge,62,64,64,96,59,English
982,Jourdan Burker,56,62,41,58,48,Programming
983,Fairlie Raynham,81,52,88,92,91,English
984,Elvira Kermannes,36,80,42,51,40,Algorithms
985,Gabrielle Bhatia,41,73,52,52,92,Math
986,Mattie Rosier,68,64,92,96,49,Databases
987,Rosalinda Cham,55,54,53,41,59,Databases
988,Lulu Wagenen,100,87,91,93,98,Programming
989,Perrine Tuddenham,50,44,43,91,59,Math
990,Tanny Vuitte,75,80,48,75,43,Programming
991,Elonore Dalgleish,38,43,44,84,94,English
992,Nestor Regnard,95,75,72,91,45,Programming
993,Wolfgang Melwall,47,42,71,95,83,Databases
994,Honey Francois,94,78,47,85,80,English
995,Clementius Han,57,59,74,42,49,Databases
996,Wilt Julian,70,70,47,66,80,Algorithms
997,Pearle Christoffe,63,70,80,47,97,Databases
998,Bonnibelle Bunn,79,52,48,99,91,Programming
999,Padraic Dallender,48,87,90,62,96,Math
1000,Harry Harring,78,41,88,96,42,Math
